transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,masked_email,masked_phone,revenue,year,month,product_name_master,category_master,price_master
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Troy60@gmail.com,8385276968,successful,T***@gmail.com,******6968,40500.0,2025,December,Mixer Grinder,Home Appliances,15000
2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,SarahGuerrero@yahoo.com,7147248911,successful,S***@yahoo.com,******8911,227500.0,2025,July,Phone,Electronics,70000
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,SamanthaHull@outlook.com,7415321565,successful,S***@outlook.com,******1565,123500.0,2025,July,Refrigerator,Home Appliances,65000
4,794,Gerald Cooper,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,GeraldCooper@gmail.com,9739354201,successful,G***@gmail.com,******4201,152000.0,2025,October,Sofa,Furniture,80000
5,864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,CameronBlack@yahoo.com,9938169477,successful,C***@yahoo.com,******9477,14250.0,2025,December,Mixer Grinder,Home Appliances,15000
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,successful,M***@gmail.com,******2717,812500.0,2025,July,Laptop,Electronics,250000
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,failed,M***@gmail.com,******2717,812500.0,2025,July,Laptop,Electronics,250000
7,142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,Charles7@gmail.com,9980826322,successful,C***@gmail.com,******6322,475000.0,2026,March,Laptop,Electronics,250000
8,457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Cathy90@gmail.com,8396657576,successful,C***@gmail.com,******7576,66500.0,2026,February,Phone,Electronics,70000
9,749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,LindaLara@outlook.com,7476164201,successful,L***@outlook.com,******4201,94500.0,2025,August,Microwave,Home Appliances,45000
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,JoseThomas@outlook.com,8398779963,successful,J***@outlook.com,******9963,84000.0,2025,December,Phone,Electronics,70000
11,946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,LisaCochran@gmail.com,8354440319,successful,L***@gmail.com,******0319,22400.0,2025,December,Shoes,Clothing,8000
12,757,Yvette Clark,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,YvetteClark@gmail.com,6025126334,successful,Y***@gmail.com,******6334,180000.0,2025,June,Sofa,Furniture,80000
13,838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,SusanTorres@outlook.com,8776486426,successful,S***@outlook.com,******6426,211250.0,2025,June,Refrigerator,Home Appliances,65000
14,117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,BrentClark@gmail.com,9054087598,successful,B***@gmail.com,******7598,260000.0,2026,February,Refrigerator,Home Appliances,65000
15,923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,GeorgeWilkinson@gmail.com,6517059222,successful,G***@gmail.com,******9222,243750.0,2026,January,Refrigerator,Home Appliances,65000
16,765,Eric Gaines,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,EricGaines@yahoo.com,7665911327,successful,E***@yahoo.com,******1327,34000.0,2025,August,Shoes,Clothing,8000
17,570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,Donald21@gmail.com,7944230219,successful,D***@gmail.com,******0219,178500.0,2025,May,Phone,Electronics,70000
18,973,Allen Gilbert,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,AllenGilbert@outlook.com,7543149731,successful,A***@outlook.com,******9731,25500.0,2025,May,Mixer Grinder,Home Appliances,15000
19,786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,JeremiahSimmons@outlook.com,7139465116,successful,J***@outlook.com,******5116,4160.0,2025,September,Shirt,Clothing,1300
